object,size,altitude,visibility-1,visibility-3,visibility-5,visibility-10,visibility-15,visibility-20,visibility-30
boat_sail,15,1000,0.5,1.6,2.3,3.3,4,4.4,4.4
boat_sail,20,1000,0.5,1.8,2.7,4.2,5.1,5.7,5.7
boat_sail,25,1000,0.5,2.1,3.2,5,6.2,7.1,7.1
boat_sail,30,1000,0.6,2.3,3.6,6,7.6,8.9,10.7
boat_sail,40,1000,0.6,2.6,4.3,7.6,10.9,12,14.9
boat_sail,50,1000,0.6,2.7,4.6,8.5,11.4,13.7,17.4
boat_sail,70,1000,0.6,2.8,4.9,9.3,12.8,15.6,20.1
boat_sail,83,1000,0.6,2.8,5.1,9.9,13.8,17,22.2
ship,120,1000,0.6,2.9,5.4,11.1,15.9,20.1,27
ship,225,1000,0.6,3,5.7,12.5,18.9,24.7,34.9
ship,300,1000,0.6,3,5.8,13.2,20.6,27.9,41.4
piw,1,1500,0,0,0,0,0,0.1,0.1
raft,1,1500,0.2,0.7,0.9,1.3,1.4,1.4,1.4
raft,4,1500,0.3,1,1.3,1.9,2.1,2.3,2.3
raft,6,1500,0.3,1.1,1.6,2.3,2.6,2.9,2.9
raft,8,1500,0.3,1.2,1.7,2.4,2.8,3.1,3.1
raft,10,1500,0.3,1.3,1.8,2.6,3.1,3.4,3.4
raft,15,1500,0.3,1.4,2,2.9,3.4,3.8,4.3
raft,20,1500,0.4,1.5,2.2,3.3,4,4.4,5.1
raft,25,1500,0.4,1.6,2.4,3.6,4.3,4.8,5.6
boat_power,15,1500,0.3,1,1.3,1.7,2,2.1,2.1
boat_power,20,1500,0.4,1.7,2.5,3.7,4.5,5.1,5.1
boat_power,33,1500,0.5,2.2,3.4,5.5,6.8,7.9,9.4
boat_power,53,1500,0.5,2.6,4.5,8.2,11,13.2,16.6
boat_power,78,1500,0.5,2.8,5.1,9.8,13.6,16.7,21.8
boat_sail,15,1500,0.4,1.6,2.3,3.4,4.1,4.5,4.5
