object,size,altitude,visibility-1,visibility-3,visibility-5,visibility-10,visibility-15,visibility-20,visibility-30
boat_power,78,1000,0.8,3.3,5.7,10.9,15,18.5,23.9
boat_sail,15,1000,0.6,1.9,2.8,4,4.8,5.4,5.4
boat_sail,20,1000,0.7,2.2,3.2,4.9,6,6.8,6.8
boat_sail,25,1000,0.7,2.5,3.7,5.8,7.3,8.3,8.3
boat_sail,30,1000,0.7,2.7,4.2,6.9,8.8,10.3,12.4
boat_sail,40,1000,0.7,3,4.9,8.6,11.4,13.5,16.8
boat_sail,50,1000,0.7,3.1,5.3,9.5,12.8,15.4,19.5
boat_sail,70,1000,0.8,3.2,5.6,10.4,14.2,17.3,22.2
boat_sail,83,1000,0.8,3.3,5.7,11,15.3,18.8,24.4
ship,120,1000,0.8,3.4,6,12.2,17.4,21.9,29.3
ship,225,1000,0.8,3.4,6.3,13.6,20.4,26.6,37.3
ship,300,1000,0.8,3.5,6.4,14.3,22.2,29.8,43.9
